Timeline	Values	Forecast	Lower Confidence Bound	Upper Confidence Bound
Apr-23	" 90,773,026 "			
May-23	" 98,864,528 "			
Jun-23	" 86,285,609 "			
Jul-23	" 83,708,959 "			
Aug-23	" 68,793,616 "			
Sep-23	" 82,195,717 "			
Oct-23	" 84,007,816 "			
Nov-23	" 66,294,653 "			
Dec-23	" 89,343,218 "			
Jan-24	" 75,051,158 "			
Jan-24	" 60,759,097 "			
Feb-24	" 42,318,879 "			
Mar-24	" 90,703,792 "			
Apr-24	" 98,934,666 "			
May-24	" 52,213,583 "	" 52,213,583 "	52213583.00	52213583.00
Jun-24		" 39,786,349 "	10675517.70	68897180.65
Jul-24		" 79,663,171 "	50552208.28	108774133.22
Aug-24		" 80,768,017 "	51656994.76	109879039.90
